"keys";"?plural";"?context";"pt_BR"
"URL_POPUP_CONTINUING_WILL_OPEN_THE_LINK_IN";"";"";"Ao continuar, o link será aberto no seu navegador. Confirme que é um site confiável antes de prosseguir."
"USERNAME_PICKER_NAME";"";"";"Nome"
"USERNAME_PICKER_NON_UNIQUE_NAME";"";"";"NOME NÃO EXCLUSIVO"
"USERNAME_PICKER_UNIQUE_NAME";"";"";"NOME EXCLUSIVO"
"USERNAME_PICKER_USERNAME";"";"";"Nome de usuário"
"WEARABLE_BUTTON_BODY";"";"";"Corpo"
"WEARABLE_BUTTON_UNKNOWN";"";"";"Desconhecido"
"WEARABLE_CATEGORY_ALL";"";"";"Tudo"
"WEARABLE_CATEGORY_BODY";"";"";"Corpo"
"WEARABLE_CATEGORY_CHEST";"";"";"Tronco"
"WEARABLE_CATEGORY_CLOTHING";"";"";"Roupas"
"WEARABLE_CATEGORY_EARRINGS";"";"";"Brincos"
"WEARABLE_CATEGORY_EXTRAS";"";"";"Extras"
"WEARABLE_CATEGORY_EYEBROWS";"";"";"Sobrancelhas"
"WEARABLE_CATEGORY_EYES";"";"";"Olhos"
"WEARABLE_CATEGORY_FACE";"";"";"Rosto"
"WEARABLE_CATEGORY_FACIAL_HAIR";"";"";"Barba"
"WEARABLE_CATEGORY_FEET";"";"";"Pés"
"WEARABLE_CATEGORY_GLASSES";"";"";"Óculos"
"WEARABLE_CATEGORY_HAIR";"";"";"Cabelo"
"WEARABLE_CATEGORY_HANDS";"";"";"Mãos"
"WEARABLE_CATEGORY_HATS";"";"";"Chapéus"
"WEARABLE_CATEGORY_HEAD";"";"";"Cabeça"
"WEARABLE_CATEGORY_HELMETS";"";"";"Capacetes"
"WEARABLE_CATEGORY_LEGS";"";"";"Pernas"
"WEARABLE_CATEGORY_MASKS";"";"";"Máscaras"
"WEARABLE_CATEGORY_MOUTH";"";"";"Boca"
"WEARABLE_CATEGORY_SHAPE";"";"";"Forma"
"WEARABLE_CATEGORY_SKIN";"";"";"Pele"
"WEARABLE_CATEGORY_TIARAS";"";"";"Tiaras"
"WEARABLE_CATEGORY_TOP_HEAD";"";"";"Topo da cabeça"
"WEARABLE_ITEM_DETAIL";"";"";"DETALHE"
"WEARABLE_ITEM_GET_CREDITS";"";"";"OBTER CRÉDITOS"
"WEARABLE_ITEM_NEW";"";"";"NOVO"
