"keys";"?plural";"?context";"es"
"TOAST_WORLD_NOT_EXIST_BODY";"";"";"{world} no existe."
"TOAST_WORLD_NOT_FOUND_TITLE";"";"";"World no encontrado"
"TOAST_WORLD_UNAVAILABLE_BODY";"";"";"No se ha podido cargar ""{world}"": {error}"
"TOAST_WORLD_UNAVAILABLE_TITLE";"";"";"World no disponible"
"TOAST_WORLD_UNREACHABLE_BODY";"";"";"No se ha podido conectar con {world}."
"TOOLTIP_ACTION_1";"";"";"Acción 1"
"TOOLTIP_ACTION_2";"";"";"Acción 2"
"TOOLTIP_ACTION_3";"";"";"Acción 3"
"TOOLTIP_ACTION_4";"";"";"Acción 4"
"TOOLTIP_ACTION_JUMP";"";"";"Saltar"
"TOOLTIP_ACTION_PRIMARY";"";"";"Principal"
"TOOLTIP_ACTION_SECONDARY";"";"";"Secundaria"
"TOOLTIP_ACTION_TAP";"";"";"Tocar"
"TOOLTIP_VIEW_PROFILE";"";"";"Ver perfil"
"UPDATE_AVAILABLE_A_NEW_VERSION_OF_DECENTRALAND_IS";"";"";"Hay una nueva versión de Decentraland disponible. Actualiza ahora para tener las últimas correcciones y mejoras."
"UPDATE_AVAILABLE_LATER";"";"";"MÁS TARDE"
"UPDATE_AVAILABLE_UPDATE";"";"";"ACTUALIZAR"
"UPDATE_AVAILABLE_UPDATE_AVAILABLE";"";"";"Actualización disponible"
"UPGRADE_MODAL_ADD_EMAIL_TO_UNLOCK_DECENTRALAND_ACROSS";"";"";"Añade tu email para usar Decentraland en todos tus dispositivos y consigue un"
"UPGRADE_MODAL_EXCLUSIVE_WEARABLE";"";"";"Wearable exclusivo."
"UPGRADE_MODAL_MAYBE_LATER";"";"";"QUIZÁS MÁS TARDE"
"URL_POPUP_ARE_YOU_SURE_YOU_WANT_TO";"";"";"¿Seguro que quieres seguir este enlace?"
"URL_POPUP_CONTINUE";"";"";"CONTINUAR"
"URL_POPUP_CONTINUING_WILL_OPEN_THE_LINK_IN";"";"";"Al continuar, el enlace se abrirá en tu navegador. Asegúrate de que es un sitio de confianza antes de seguir."
"USERNAME_PICKER_NAME";"";"";"Nombre"
"USERNAME_PICKER_NON_UNIQUE_NAME";"";"";"NOMBRE NO ÚNICO"
"USERNAME_PICKER_UNIQUE_NAME";"";"";"NOMBRE ÚNICO"
"USERNAME_PICKER_USERNAME";"";"";"Nombre de usuario"
"WEARABLE_BUTTON_BODY";"";"";"Cuerpo"
"WEARABLE_BUTTON_UNKNOWN";"";"";"Desconocido"
"WEARABLE_CATEGORY_ALL";"";"";"Todo"
"WEARABLE_CATEGORY_BODY";"";"";"Cuerpo"
"WEARABLE_CATEGORY_CHEST";"";"";"Torso"
"WEARABLE_CATEGORY_CLOTHING";"";"";"Ropa"
"WEARABLE_CATEGORY_EARRINGS";"";"";"Pendientes"
"WEARABLE_CATEGORY_EXTRAS";"";"";"Extras"
"WEARABLE_CATEGORY_EYEBROWS";"";"";"Cejas"
"WEARABLE_CATEGORY_EYES";"";"";"Ojos"
"WEARABLE_CATEGORY_FACE";"";"";"Cara"
"WEARABLE_CATEGORY_FACIAL_HAIR";"";"";"Vello facial"
"WEARABLE_CATEGORY_FEET";"";"";"Pies"
"WEARABLE_CATEGORY_GLASSES";"";"";"Gafas"
"WEARABLE_CATEGORY_HAIR";"";"";"Pelo"
"WEARABLE_CATEGORY_HANDS";"";"";"Manos"
"WEARABLE_CATEGORY_HATS";"";"";"Sombreros"
"WEARABLE_CATEGORY_HEAD";"";"";"Cabeza"
"WEARABLE_CATEGORY_HELMETS";"";"";"Cascos"
"WEARABLE_CATEGORY_LEGS";"";"";"Piernas"
"WEARABLE_CATEGORY_MASKS";"";"";"Máscaras"
"WEARABLE_CATEGORY_MOUTH";"";"";"Boca"
"WEARABLE_CATEGORY_SHAPE";"";"";"Figura"
"WEARABLE_CATEGORY_SKIN";"";"";"Piel"
"WEARABLE_CATEGORY_TIARAS";"";"";"Tiaras"
"WEARABLE_CATEGORY_TOP_HEAD";"";"";"Parte superior de la cabeza"
"WEARABLE_ITEM_DETAIL";"";"";"DETALLE"
"WEARABLE_ITEM_GET_CREDITS";"";"";"CONSEGUIR CRÉDITOS"
"WEARABLE_ITEM_NEW";"";"";"NUEVO"
